date,product_name,stock,price,day_of_week,is_weekend,demand
2025-11-08,Rice 26kg,498,210,5,1,7
2025-11-08,Sugar,289,245,5,1,25
2025-11-08,Milk 1L,489,671,5,1,21
2025-11-08,Bread,200,773,5,1,23
2025-11-08,Eggs 12pk,331,938,5,1,19
2025-11-08,Cooking Oil 5L,106,268,5,1,12
2025-11-08,Dal 1kg,423,764,5,1,8
2025-11-08,Salt 1kg,286,160,5,1,17
2025-11-08,Tea 500g,459,630,5,1,19
2025-11-08,Coffee 200g,145,278,5,1,14
2025-11-08,greenchilli-100g,166,331,5,1,21
2025-11-08,Redchilli-50g,241,624,5,1,8
2025-11-08,GaramMasala,421,107,5,1,13
2025-11-08,Curd-200g,314,416,5,1,26
2025-11-08,garlic100g,140,857,5,1,15
2025-11-08,ginger100g,139,255,5,1,19
2025-11-09,Rice 26kg,91,418,6,1,11
2025-11-09,Sugar,89,619,6,1,26
2025-11-09,Milk 1L,390,367,6,1,31
2025-11-09,Bread,457,988,6,1,20
2025-11-09,Eggs 12pk,215,432,6,1,22
2025-11-09,Cooking Oil 5L,392,187,6,1,5
2025-11-09,Dal 1kg,181,427,6,1,14
2025-11-09,Salt 1kg,202,891,6,1,15
2025-11-09,Tea 500g,139,463,6,1,17
2025-11-09,Coffee 200g,361,299,6,1,15
2025-11-09,greenchilli-100g,63,282,6,1,28
2025-11-09,Redchilli-50g,424,664,6,1,8
2025-11-09,GaramMasala,84,164,6,1,12
2025-11-09,Curd-200g,135,240,6,1,24
2025-11-09,garlic100g,190,715,6,1,21
2025-11-09,ginger100g,307,794,6,1,23
2025-11-10,Rice 26kg,262,765,0,0,5
2025-11-10,Sugar,454,761,0,0,15
2025-11-10,Milk 1L,497,656,0,0,15
2025-11-10,Bread,156,331,0,0,16
2025-11-10,Eggs 12pk,58,695,0,0,14
2025-11-10,Cooking Oil 5L,79,399,0,0,5
2025-11-10,Dal 1kg,197,457,0,0,7
2025-11-10,Salt 1kg,490,715,0,0,4
2025-11-10,Tea 500g,183,203,0,0,5
2025-11-10,Coffee 200g,384,939,0,0,7
2025-11-10,greenchilli-100g,299,134,0,0,27
2025-11-10,Redchilli-50g,97,958,0,0,11
2025-11-10,GaramMasala,160,196,0,0,6
2025-11-10,Curd-200g,259,353,0,0,6
2025-11-10,garlic100g,298,169,0,0,14
2025-11-10,ginger100g,290,486,0,0,13
2025-11-11,Rice 26kg,33,789,1,0,2
2025-11-11,Sugar,26,445,1,0,17
2025-11-11,Milk 1L,348,265,1,0,24
2025-11-11,Bread,436,869,1,0,19
2025-11-11,Eggs 12pk,36,438,1,0,23
2025-11-11,Cooking Oil 5L,194,859,1,0,7
2025-11-11,Dal 1kg,199,845,1,0,11
2025-11-11,Salt 1kg,209,295,1,0,12
2025-11-11,Tea 500g,346,926,1,0,9
2025-11-11,Coffee 200g,17,780,1,0,12
2025-11-11,greenchilli-100g,460,688,1,0,14
2025-11-11,Redchilli-50g,270,364,1,0,8
2025-11-11,GaramMasala,373,627,1,0,6
2025-11-11,Curd-200g,123,369,1,0,14
2025-11-11,garlic100g,496,807,1,0,17
2025-11-11,ginger100g,240,480,1,0,11
2025-11-12,Rice 26kg,341,597,2,0,5
2025-11-12,Sugar,133,898,2,0,9
2025-11-12,Milk 1L,498,138,2,0,31
2025-11-12,Bread,303,610,2,0,16
2025-11-12,Eggs 12pk,278,202,2,0,23
2025-11-12,Cooking Oil 5L,299,487,2,0,4
2025-11-12,Dal 1kg,434,430,2,0,9
2025-11-12,Salt 1kg,443,58,2,0,11
2025-11-12,Tea 500g,137,294,2,0,9
2025-11-12,Coffee 200g,115,110,2,0,9
2025-11-12,greenchilli-100g,490,65,2,0,12
2025-11-12,Redchilli-50g,143,703,2,0,6
2025-11-12,GaramMasala,112,340,2,0,2
2025-11-12,Curd-200g,259,196,2,0,7
2025-11-12,garlic100g,473,589,2,0,14
2025-11-12,ginger100g,151,782,2,0,15
2025-11-13,Rice 26kg,80,114,3,0,7
2025-11-13,Sugar,409,789,3,0,19
2025-11-13,Milk 1L,56,143,3,0,15
2025-11-13,Bread,290,313,3,0,8
2025-11-13,Eggs 12pk,21,446,3,0,13
2025-11-13,Cooking Oil 5L,300,186,3,0,4
2025-11-13,Dal 1kg,40,988,3,0,15
2025-11-13,Salt 1kg,279,961,3,0,7
2025-11-13,Tea 500g,435,72,3,0,12
2025-11-13,Coffee 200g,464,296,3,0,5
2025-11-13,greenchilli-100g,165,678,3,0,16
2025-11-13,Redchilli-50g,197,401,3,0,7
2025-11-13,GaramMasala,228,468,3,0,2
2025-11-13,Curd-200g,434,299,3,0,10
2025-11-13,garlic100g,50,467,3,0,16
2025-11-13,ginger100g,65,987,3,0,14
2025-11-14,Rice 26kg,140,712,4,0,6
2025-11-14,Sugar,473,361,4,0,22
2025-11-14,Milk 1L,446,84,4,0,16
2025-11-14,Bread,11,206,4,0,20
2025-11-14,Eggs 12pk,462,933,4,0,13
2025-11-14,Cooking Oil 5L,258,182,4,0,2
2025-11-14,Dal 1kg,159,127,4,0,18
2025-11-14,Salt 1kg,481,258,4,0,10
2025-11-14,Tea 500g,243,331,4,0,15
2025-11-14,Coffee 200g,269,658,4,0,7
2025-11-14,greenchilli-100g,137,138,4,0,10
2025-11-14,Redchilli-50g,263,560,4,0,7
2025-11-14,GaramMasala,172,465,4,0,7
2025-11-14,Curd-200g,40,532,4,0,17
2025-11-14,garlic100g,58,681,4,0,14
2025-11-14,ginger100g,365,889,4,0,16
2025-11-15,Rice 26kg,221,474,5,1,9
2025-11-15,Sugar,318,58,5,1,18
2025-11-15,Milk 1L,478,265,5,1,26
2025-11-15,Bread,289,383,5,1,14
2025-11-15,Eggs 12pk,487,199,5,1,17
2025-11-15,Cooking Oil 5L,83,374,5,1,9
2025-11-15,Dal 1kg,321,663,5,1,23
2025-11-15,Salt 1kg,93,785,5,1,8
2025-11-15,Tea 500g,429,110,5,1,20
2025-11-15,Coffee 200g,328,684,5,1,13
2025-11-15,greenchilli-100g,84,64,5,1,17
2025-11-15,Redchilli-50g,325,329,5,1,16
2025-11-15,GaramMasala,478,171,5,1,11
2025-11-15,Curd-200g,402,289,5,1,15
2025-11-15,garlic100g,149,1000,5,1,17
2025-11-15,ginger100g,23,677,5,1,23
2025-11-16,Rice 26kg,307,673,6,1,7
2025-11-16,Sugar,152,983,6,1,13
2025-11-16,Milk 1L,164,733,6,1,31
2025-11-16,Bread,313,597,6,1,20
2025-11-16,Eggs 12pk,123,142,6,1,20
2025-11-16,Cooking Oil 5L,240,196,6,1,4
2025-11-16,Dal 1kg,497,621,6,1,19
2025-11-16,Salt 1kg,492,78,6,1,20
2025-11-16,Tea 500g,24,751,6,1,10
2025-11-16,Coffee 200g,418,607,6,1,16
2025-11-16,greenchilli-100g,382,480,6,1,30
2025-11-16,Redchilli-50g,195,648,6,1,6
2025-11-16,GaramMasala,449,656,6,1,10
2025-11-16,Curd-200g,159,394,6,1,20
2025-11-16,garlic100g,66,998,6,1,25
2025-11-16,ginger100g,273,71,6,1,20
2025-11-17,Rice 26kg,270,319,0,0,4
2025-11-17,Sugar,360,984,0,0,10
2025-11-17,Milk 1L,366,166,0,0,23
2025-11-17,Bread,445,167,0,0,21
2025-11-17,Eggs 12pk,113,714,0,0,15
2025-11-17,Cooking Oil 5L,80,991,0,0,6
2025-11-17,Dal 1kg,65,870,0,0,12
2025-11-17,Salt 1kg,472,636,0,0,9
2025-11-17,Tea 500g,99,740,0,0,11
2025-11-17,Coffee 200g,226,611,0,0,3
2025-11-17,greenchilli-100g,449,335,0,0,20
2025-11-17,Redchilli-50g,312,561,0,0,9
2025-11-17,GaramMasala,243,551,0,0,5
2025-11-17,Curd-200g,38,504,0,0,7
2025-11-17,garlic100g,268,678,0,0,8
2025-11-17,ginger100g,37,895,0,0,7
2025-11-18,Rice 26kg,59,484,1,0,5
2025-11-18,Sugar,427,654,1,0,14
2025-11-18,Milk 1L,222,613,1,0,27
2025-11-18,Bread,363,842,1,0,9
2025-11-18,Eggs 12pk,363,412,1,0,16
2025-11-18,Cooking Oil 5L,106,459,1,0,3
2025-11-18,Dal 1kg,154,111,1,0,15
2025-11-18,Salt 1kg,84,900,1,0,9
2025-11-18,Tea 500g,243,909,1,0,9
2025-11-18,Coffee 200g,384,569,1,0,12
2025-11-18,greenchilli-100g,465,111,1,0,15
2025-11-18,Redchilli-50g,78,871,1,0,12
2025-11-18,GaramMasala,69,811,1,0,10
2025-11-18,Curd-200g,51,257,1,0,13
2025-11-18,garlic100g,299,166,1,0,9
